Which player has scored the most runs in a single Test innings?,Graham Gooch,Matthew Hayden,Brian Lara,Agarkar,Brian Lara,2
Who was the 1st ODI captain for India?,Ajit Wadekar,Bishen Singh Bedi,Nawab Pataudi,Vinoo Mankad,Ajit Wadekar,1
Which county did Mohammad Azharuddin play for?,Yorkshire,Hampshire,Lancashire,Derbyshire,Derbyshire,4
Which county did Sunil Gavaskar play for?,Somerset,Worcestershire,Warwickshire,Glamorgan,Somerset,1
The Indian to beat the computers in mathematical wizardry is,Ramanujam,Rina Panigrahi,Raja Ramanna,Shakunthala Devi,Shakunthala Devi,4
Jude Felix is a famous Indian player in which of the fields?,Volleyball,Tennis,Football,Hockey,Hockey,4
Which of the following was Satyajit Ray associated with?,Classical music,Commercial art,Film Direction,Classical dance,Film Direction,3
Which was the 1st non Test playing country to beat India in an international match?,Canada,Sri Lanka,Zimbabwe,East Africa,Sri Lanka,2
Which county did Ravi Shastri play for?,Glamorgan,Leicestershire,Gloucestershire,Lancashire,Glamorgan,1
Who was the first Indian to win the World Amateur Billiards title?,Geet Sethi,Wilson Jones,Michael Ferreira,Manoj Kothari,Wilson Jones,2
Who is the first Indian woman to win an Asian Games gold in 400m run?,M.L.Valsamma,P.T.Usha,Kamaljit Sandhu,K.Malleshwari,Kamaljit Sandhu,3
What Major League Baseball player holds the record for all-time career high batting average?,Ty Cobb,Larry Walker,Jeff Bagwell,Frank Thomas,Ty Cobb,1
The 'Dronacharya Award' is given to...?,Sportsmen,Coaches,Umpires,Sports Editors,Coaches,2
In which Indian state did the game of Polo originate?,Meghalaya,Rajasthan,Manipur,West Bengal,Manipur,3
Which cricketer died on the field in Bangladesh while playing for Abahani Club?,Subhash Gupte,M.L.Jaisimha,Lala Amarnath,Raman Lamba,Raman Lamba,4
Which of the following is a Manipuri version of Hockey?,Khong Kangjei,Hiyang Tanaba,Yubi Lakpi,None of above,Khong Kangjei,1
Which county did Javagal Srinath sign for in 2003?,Surrey,Durham,Sussex,Essex,Durham,2
Which county did Sachin Tendulkar play for?,Nottinghamshire,Yorkshire,Lancashire,Leicestershire,Yorkshire,2
Where did the 1st ODI match was played in India?,New Delhi,Ahmedabad,Kolkata,Mumbai,Ahmedabad,2
Who did Shawn Michaels beat to win his first Intercontinental Title?,Bret Hart,Marty Jannetty,British Bulldog,Tito Santana,British Bulldog,3
Who had a torrid time with Lancashire in 2000?,Sachin Tendulkar,Nayan Mongia,Javagal Srinath,Saurav Ganguly,Saurav Ganguly,4
What is the name of the person that controls a football match?,A referee,An umpire,A spectator,A goalkeeper,A referee,1
Who was the first captain of Indian Test team?,Vijay Hazare,C K Nayudu,Lala Amarnath,Vijay Merchant,C K Nayudu,2
Fenway Park is the home field of what Major League Baseball team?,New York Yankees,Chicago White Sox,Montreal Expos,Boston Red Sox,Boston Red Sox,4
Pravin Amre and Vinod Kambli played for which province in South Africa?,Border,Boland,Griqualand West,Gauteng,Boland,2
"Which football hero was nicknamed ""The Sundance Kid""?",Jim Kiick,Troy Aikman,Brett Favre,Joe Montana,Jim Kiick,1
Which country won the Cricket World Cup in 1999?,Australia,South Africa,Pakistan,England,Australia,1
Who did The Rock beat to win his first WWE Title?,Triple H,Stone Cold Steve Austin,Mankind,Bret Hart,Mankind,3
Who has scored the most Test hundreds ever?,Steve Waugh,Sachin Tendulkar,Shane Warne,Sunil Gavaskar,Sachin Tendulkar,2
Who is the highest wicket taker in Test cricket?,Shane Warne,Brian Lara,Courtney Walsh,Muttiah Muralitharan,Muttiah Muralitharan,4
