Which player has scored the most runs in a single Test innings?,Graham Gooch,Matthew Hayden,Brian Lara,Agarkar,2,,Brian Lara
Who was the 1st ODI captain for India?,Ajit Wadekar,Bishen Singh Bedi,Nawab Pataudi,Vinoo Mankad,1,,Ajit Wadekar
Which county did Mohammad Azharuddin play for?,Yorkshire,Hampshire,Lancashire,Derbyshire,4,,Derbyshire
Which county did Sunil Gavaskar play for?,Somerset,Worcestershire,Warwickshire,Glamorgan,1,,Somerset
The Indian to beat the computers in mathematical wizardry is,Ramanujam,Rina Panigrahi,Raja Ramanna,Shakunthala Devi,4,,Shakunthala Devi
Jude Felix is a famous Indian player in which of the fields?,Volleyball,Tennis,Football,Hockey,4,,Hockey
Which of the following was Satyajit Ray associated with?,Classical music,Commercial art,Film Direction,Classical dance,3,,Film Direction
Which was the 1st non Test playing country to beat India in an international match?,Canada,Sri Lanka,Zimbabwe,East Africa,2,,Sri Lanka
Which county did Ravi Shastri play for?,Glamorgan,Leicestershire,Gloucestershire,Lancashire,1,,Glamorgan
Who was the first Indian to win the World Amateur Billiards title?,Geet Sethi,Wilson Jones,Michael Ferreira,Manoj Kothari,2,,Wilson Jones
